platform,URL,date_crawl,customer_name,time_comment,content,thank_count
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@jacksonsimmons9976,2024-03-02T00:39:23Z,"Nếu thích iPhone nhỏ gọn sao không mua iPhone 15 Pro, màn hình nhỏ gọn có đầy đủ tất cả tính năng 🤣",0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@duydoanx,2024-03-02T00:09:15Z,"Mình đang dùng samsung đục lỗ, qua 15 Promax xem phim khó chịu vãi, mà lỡ mua rồi nên thôi 😢",1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@khoale-cp7ed,2024-03-01T19:38:42Z,"Hợp nhu cầu thì dùng thôi, dùng cơ bản ko game thì dòng thường, còn thích đú , khoe thì cứ mua bản tối đa. Mà giờ khoe thì người ta khoe xe, đồng hồ, bđs còn khoe điện thoại thì chỉ có  con nít nó khoe",0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@mastercover5182,2024-03-01T18:37:14Z,cái phụ kiện phía sau ip 15 của anh là gì vậy ạ,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@zeal7082,2024-03-01T18:06:01Z,nhưng mà không có ốp pikapi 12/13 mini😡😡,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@hoangtuanzyra,2024-03-01T17:22:39Z,Mình cũng thích dòng thường vì nhỏ gọn và nhiều màu đẹp 😁,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@Hung.Ba.,2024-03-01T16:51:34Z,"2 bạn là tín đồ của táo,,chứ mk đang dùng dòng S của sam nhảy sang con 14prm đc 6 tháng rồi vẫn thấy chán ip",0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@MinhNguyen-xw7mm,2024-03-01T16:41:53Z,Em dùng máy to quen giờ chuyển qua dùng máy nhỏ cứ thấy tù tù. Dòng thường hay pro đều ok miễn màn hình của nó to,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@hokkaido3886,2024-03-01T16:41:46Z,Mới dứt 15 thường màu pink đẹp vãi lồng 😍. 120hz xanh màn nản lắm lại nặng nữa.,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@vqn90,2024-03-01T16:31:54Z,bị triggered finger ngón áp úp khi chuyển qua dùng 15 promax 😢,0
