Platform_x,URL,Date Crawled,Product Title,Current Price,Discounted Price,Rating Average,Rating Count,Platform_y,Customer Name,Time Comment,Content,content_rate
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá,CellPhones,Quang Huy,2/3/2024 22:03,Anh Ơi Cho e Huỷ Đơn Ạ em bấm nhầm ạ,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Anh Ơi Cho e Huỷ Đơn Ạ em bấm nhầm ạ"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá,CellPhones,Nguyen Tien Son,2/3/2024 05:23,Totddddđưkksksss,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Totddddđưkksksss"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá,CellPhones,Việt Anh,1/3/2024 12:58,samsung note20 ngoại hình đẹp không lỗi lầm gì muốn lên 15prm titan tự nhiên bù bao nhiêu ạ,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
samsung note20 ngoại hình đẹp không lỗi lầm gì muốn lên 15prm titan tự nhiên bù bao nhiêu ạ"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá,CellPhones,Nguyen Canh,25/1/2024 14:27,Một sản phẩm rất hợp túi tiền nha,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Một sản phẩm rất hợp túi tiền nha"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá,CellPhones,Trần Hữu Mạnh,9/11/2023 21:57,Máy đẹp khỏi phải bàn,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Máy đẹp khỏi phải bàn"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max.html,3/10/2024,iPhone 15 Pro Max 256GB | Chính hãng VN/A,34.990.000đ,31.490.000đ,5.0/5,12 đánh giá,CellPhones,nguyễn hoàng gia linh,30/10/2023 19:01,"đẹp nhen thích nhất màu trắng, nhẹ hơn ip 14 pm giá cả cạnh tranh","Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
đẹp nhen thích nhất màu trắng, nhẹ hơn ip 14 pm giá cả cạnh tranh"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max-512gb.html,3/10/2024,iPhone 15 Pro Max 512GB | Chính hãng VN/A,40.990.000đ,38.990.000đ,4.8/5,5 đánh giá,CellPhones,Võ Tấn Hùng,7/12/2023 09:38,Rất tột Rậc ô kê,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Rất tột Rậc ô kê"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max-512gb.html,3/10/2024,iPhone 15 Pro Max 512GB | Chính hãng VN/A,40.990.000đ,38.990.000đ,4.8/5,5 đánh giá,CellPhones,Anh KHANG,12/10/2023 11:50,Đã mua máy thứ 2 15 pro max 1TB titan tự nhiên,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Đã mua máy thứ 2 15 pro max 1TB titan tự nhiên"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max-512gb.html,3/10/2024,iPhone 15 Pro Max 512GB | Chính hãng VN/A,40.990.000đ,38.990.000đ,4.8/5,5 đánh giá,CellPhones,Mai Nguyễn,4/10/2023 14:29,Ip 15 pro max 512G,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Ip 15 pro max 512G"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max-512gb.html,3/10/2024,iPhone 15 Pro Max 512GB | Chính hãng VN/A,40.990.000đ,38.990.000đ,4.8/5,5 đánh giá,CellPhones,Huỳnh Thanh Tuấn,2/10/2023 10:30,"Nhận hàng ngày mở bán 29/09; máy đẹp, cầm trên tay nhẹ hơn, sản phẩm hoàn thiện cao, màu sắc nhìn thực tế đẹp, rất vừa ý, nhân viên tư vấn nhiệt tình, chỉ tiếc là năm nay cellphones k tặng quà cho các bạn đến nhận máy sớm, cũng như chương trình quay số như mọi năm,","Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Nhận hàng ngày mở bán 29/09; máy đẹp, cầm trên tay nhẹ hơn, sản phẩm hoàn thiện cao, màu sắc nhìn thực tế đẹp, rất vừa ý, nhân viên tư vấn nhiệt tình, chỉ tiếc là năm nay cellphones k tặng quà cho các bạn đến nhận máy sớm, cũng như chương trình quay số như mọi năm,"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max-512gb.html,3/10/2024,iPhone 15 Pro Max 512GB | Chính hãng VN/A,40.990.000đ,38.990.000đ,4.8/5,5 đánh giá,CellPhones,Anh KHANG,29/9/2023 21:41,Sản phẩm đẹp tốt,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Sản phẩm đẹp tốt"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max-1tb.html,3/10/2024,iPhone 15 Pro Max 1TB | Chính hãng VN/A,46.990.000đ,44.990.000đ,5.0/5,2 đánh giá,CellPhones,undefined,10/11/2023 08:06,"Máy đẹp quá , sài miễn chê mà h mới có 4tr tầm 1 năm nữa là đủ mua rồi:))😢","Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Máy đẹp quá , sài miễn chê mà h mới có 4tr tầm 1 năm nữa là đủ mua rồi:))😢"
CellPhones,https://cellphones.com.vn/iphone-15-pro-max-1tb.html,3/10/2024,iPhone 15 Pro Max 1TB | Chính hãng VN/A,46.990.000đ,44.990.000đ,5.0/5,2 đánh giá,CellPhones,Anh KHANG,12/10/2023 11:49,Máy đẹp tốt 15 pro max titan tự nhiên 1TB,"Hiệu năng Siêu mạnh mẽ
Thời lượng pin Cực khủng
Chất lượng camera Chụp đẹp, chuyên nghiệp
Máy đẹp tốt 15 pro max titan tự nhiên 1TB"
