Platform_x,URL,Date Crawled,Store,Product Title,brand,Current Price,Discounted Price,Discount,Available Colors,sold_quanlity,rating_averrage,rating_count,Platform_y,customer_name,time_comment,content,thank_count,rating
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,nguyen_hoang_nam3010,2023-12-15 01:11 | Phân loại hàng: Black,"Hàng đúng ngư đã đặt, shop hỗ trợ đóng gói ship rất nhanh, bao bì được niêm phong đảm bảo.",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,d*****1,2024-01-26 11:49 | Phân loại hàng: Pink,"Màu ở ngoài siêu đẹp luôn
Săn sale nên giá oke
Check mã thấy oke",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,a*****8,2024-01-10 21:37 | Phân loại hàng: Pink,"Tính năng nổi bật: ok
Đúng với mô tả: ok
Chất lượng sản phẩm: ok",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,duchuychina7878,2023-12-15 09:38 | Phân loại hàng: Pink,"Chất lượng sản phẩm: oo
Đúng với mô tả: ok
Tính năng nổi bật: ok",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,tantranmap,2024-01-16 19:55 | Phân loại hàng: Green,"Đẹp đúng hành chính hãng, giao hàng nhanh.",2,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,namiu3495,2024-01-12 14:13 | Phân loại hàng: Pink,"Máy đẹp, nguyên seal, giao hàng khá nhanh, 5*****",Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,nguyenluong792006,2023-11-12 21:43 | Phân loại hàng: Pink,"QK nhap ma OTP: 168591 ung voi ma GD: LPXVHH7WPT de thuc hien CK nhanh 24/7, So tien: 10,000 VND tai VietinBank iPay",2,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,z9ya4crv74,2024-01-28 12:20 | Phân loại hàng: Pink,Tôi đã nhận sản phẩm này và tôi sẽ đánh giá nó năm ngôi sao bạn nha,Hữu Ích?,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,thinhnguyen93hp,2023-11-17 09:51 | Phân loại hàng: Green,Giao hàng hơi chậm chút còn lại mọi thứ good.,1,5
Shopee,https://shopee.vn/Apple-iPhone-15-Plus-128GB-i.288286284.23555130713?sp_atk=d60a40a1-53ca-40c1-a3f3-38bbc882deee&xptdk=d60a40a1-53ca-40c1-a3f3-38bbc882deee,3/19/2024,ShopDunk Official Store,Apple iPhone 15 Plus 128GB,Apple,₫29.990.000,₫23.590.000,21% GIẢM,"['Blue', 'Black', 'Pink', 'Green', 'Yellow']",354,4.9,77,Shopee,beohaycuoi96,2024-02-25 13:28 | Phân loại hàng: Pink,Ổn ạ,Hữu Ích?,5
