URL,time_comment,name_cmt,content_cmt,info_cmt,like_count
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,22 thg 1 2024,NHỊ N.,,"Nhóm Màu:Vàng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,19 thg 1 2024,*******458,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,07 thg 10 2023,Hoàng N.,,"Nhóm Màu:Màu Xanh Lá Cây, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,07 thg 10 2023,Dung T.,,"Color Family:Blue, Storage Capacity:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,30 thg 9 2023,Hamercity V.,,"Nhóm Màu:Hồng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,23 thg 1 2024,Vinhthe,,"Nhóm Màu:Vàng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,13 thg 11 2023,Nguyễn T.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,15 thg 11 2023,*******100,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,04 thg 11 2023,Anh H.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,19 thg 11 2023,T***.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:256GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,3 tuần trước,Florent D.,,"Color Family:Black, Storage Capacity:256GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 11 2023,N***.,,"Nhóm Màu:Màu Xanh Lá Cây, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,1 tuần trước,9***3,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 11 2023,*******522,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,16 thg 11 2023,D***.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 11 2023,Park J.,,"Color Family:Pink, Storage Capacity:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,2 tuần trước,NHỊ N.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,17 thg 11 2023,*******522,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,3 ngày trước,tran T.,,"Nhóm Màu:Màu Xanh Lá Cây, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,16 thg 11 2023,Vũ B.,,"Nhóm Màu:Pink, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,31 thg 10 2023,Lưu A.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,30 thg 11 2023,Lam T.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:256GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,15 thg 11 2023,Vương H.,,"Nhóm Màu:Vàng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,2 ngày trước,Nguyễn T.,,"Color Family:Green, Storage Capacity:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,1 tuần trước,7***8,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,26 thg 11 2023,Đào T.,,"Nhóm Màu:Vàng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,15 thg 11 2023,Vinhthe,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,13 thg 11 2023,Hương N.,,"Nhóm Màu:Black, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,11 thg 11 2023,Nguyễn T.,,"Nhóm Màu:Vàng, Dung Lượng Lưu Trữ:128GB",0
https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html,29 thg 10 2023,Quân M.,,"Nhóm Màu:Xanh dương, Dung Lượng Lưu Trữ:128GB",0
