id,sku,Date Crawled,brand_id,brand_name,store,product_name,current_price,discount_price,discount,colors,sold_quanlity,rating_count,rating_average
189466001,4.81735E+12,3/2/2024,25422,Xiaomi,Long Hưng TechZone,Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng,2890000,1949000,33,"[{'label': 'Bạc Chorme'}, {'label': 'Xám than chì'}, {'label': 'xanh da trời'}]",2,1,1
125590981,4.72817E+12,3/2/2024,19673,Nokia,Nokia Mobile,Điện thoại Nokia C30 2GB/32GB - Hàng chính hãng,1550000,1550000,0,[{'label': 'Xanh lục'}],122,40,4.7
126050455,9.51151E+12,3/2/2024,19673,Nokia,THẮNG THAO MOBILE,Điện thoại Nokia C20 (2GB/16GB) - Hàng Chính Hãng,2290000,1299000,43,[{'label': 'Xanh Dương'}],112,17,4.6
246163082,6.49925E+12,3/2/2024,19673,Nokia,Hồng Hạnh Mobile,Điện Thoại Nokia C30 2GB/32GB - Hàng Chính Hãng,2290000,1669000,27,[{'label': ' Xanh Lục  '}],,0,0
274116886,5.33998E+12,3/2/2024,25422,Xiaomi,Hồng Hạnh Mobile,Điện Thoại Xiaomi Redmi A2+ 3GB/64GB - Hàng Chính Hãng,2790000,2059000,26,"[{'label': ' Đen'}, {'label': 'Xanh Dương'}]",1,0,0
242771940,7.17262E+12,3/2/2024,18802,Samsung,Hồng Hạnh Mobile,Điện Thoại Samsung A04e 3GB/32GB - Hàng Chính Hãng,2990000,2129000,29,"[{'label': ' Đồng Ánh Hồng'}, {'label': 'Xanh Thời Thượng'}, {'label': 'Đen Tinh Vân'}]",1,0,0
172329599,3.73575E+12,3/2/2024,25422,Xiaomi,THẮNG THAO MOBILE,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,2199000,1750000,20,"[{'label': 'Xanh Dương'}, {'label': 'Xanh lá'}, {'label': 'Đen'}]",26,0,0
181264344,6.36895E+12,3/2/2024,112735,Oukitel,xuanhongmobile,"Điện thoại oukitel  k15 pro (chống sốc,pin khủng,pin 10.000mAh ,Ram 8Gb,Rom 128Gb) – hàng chính hãng",4990000,4990000,0,,13,5,4.2
181266509,7.55692E+12,3/2/2024,169013,Ulefone,xuanhongmobile,"Điện thoại Ulefone Armor 14 pro (chống nước,chống va đập,pin khủng,pin 10.000mAh,Ram 8Gb,Rom 128Gb)- hàng chính hãng",7990000,7990000,0,,6,4,5
168094334,9.19828E+12,3/2/2024,18802,Samsung,Long Hưng TechZone,Điện thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng chính hãng,12990000,12990000,0,[{'label': 'Xanh thanh mát'}],3,1,4
